,NUMBER,HoleId,From,To,X,Y,Z,AI,Cu%,Mo%,AgPPM,AuPPM,Pb%,Zn%,Al%,Asppm,Ca%,Fe%,K%,Mg%,Na%,S%,CUSS,CUCN,CUSS/CU%,IS,Mineralización,LITHO,LITHO por Nombre,SPI,BWI,LITMD,LITMD por Nombre,Sample ID,MINI-bond TEST
0,1,PO-10-024,78.0,81.0,204396.27,8396664.73,4146.36,3.0,1.419,0.056,5.9,0.761,0.037,0.044,0.64,70.0,5.28,32.8,0.19,2.0,0.03,1.02,0.259,0.711,0.18,0.68,Mixto,5,Skarn,96.13,12.28,3,Skarn,SG-MV001,0.0
1,2,PO-11-055,20.2,22.6,204557.5,8397068.0,4271.3,2.4,0.417,0.001,9.0,0.316,0.042,0.094,6.65,80.0,6.4,4.532,2.48,1.0,1.67,1.09,0.007,0.043,0.02,0.12,Hipógeno,4,Endoskarn,65.68,16.43,5,Diorite,SG-MV002,0.0
2,3,PO-10-015,52.0,54.3,204605.9,8396814.0,4172.1,2.3,0.206,0.014,2.0,0.054,0.013,0.102,3.8,100.0,15.0,10.16,0.75,3.0,0.38,0.59,0.008,0.023,0.04,0.15,Hipógeno,5,Skarn,103.65,15.1,3,Skarn,SG-MV003,0.0
3,4,PO-11-101,107.0,111.2,204443.6,8397061.0,4204.7,4.2,0.955,0.001,7.1,0.486,0.013,0.035,2.62,70.0,14.6,16.6,0.49,2.0,0.08,0.52,0.256,0.587,0.27,0.88,Supergeno,5,Skarn,97.97,17.25,3,Skarn,SG-MV004,1.0
4,5,PO-12-115,108.4,112.1,204495.0,8397090.0,4209.07,3.7,0.171,0.002,1.3,0.03,0.009,0.335,1.19,110.0,15.0,4.49,0.64,2.0,0.02,0.57,0.004,0.017,0.02,0.12,Hipógeno,1,Limestone,51.58,11.53,2,Limestone,SG-MV005,0.0
5,6,PO-11-081,42.0,45.0,204417.1,8396636.0,4156.03,3.0,1.711,0.002,1.8,0.794,0.006,0.028,1.17,30.0,6.26,35.78,0.38,2.0,0.05,1.23,0.27,0.683,0.16,0.56,Mixto,5,Skarn,94.07,11.9,3,Skarn,SG-MV006,0.0
6,7,PO-10-024,48.0,51.0,204395.67,8396672.9,4175.22,3.0,0.19,0.008,0.5,0.103,0.003,0.015,3.84,40.0,7.86,16.21,0.89,3.0,0.47,0.19,0.034,0.07,0.18,0.55,Mixto,5,Skarn,65.41,16.22,3,Skarn,SG-MV007,0.0
7,8,PO-11-101,136.8,141.0,204450.3,8397062.0,4175.67,4.2,0.425,0.001,2.3,0.628,0.005,0.02,2.49,30.0,3.85,37.24,2.02,2.0,0.29,0.38,0.047,0.113,0.11,0.38,Mixto,5,Skarn,37.98,10.58,3,Skarn,SG-MV008,0.0
8,9,PO-12-134,46.0,50.0,204479.8,8396731.0,4197.73,4.0,0.254,0.016,1.7,0.176,0.023,0.047,2.32,40.0,4.53,38.56,0.67,3.0,0.43,0.28,0.043,0.116,0.17,0.63,Mixto,5,Skarn,140.39,14.79,3,Skarn,SG-MV009,1.0
9,10,PO-11-087,99.0,101.9,204529.8,8397031.0,4193.73,2.9,0.31,0.002,1.2,0.158,0.007,0.025,3.48,90.0,10.11,19.44,1.1,3.0,0.69,0.28,0.036,0.085,0.12,0.39,Mixto,5,Skarn,112.35,14.63,3,Skarn,SG-MV010,0.0
